Student_ID,Python,Java,SQL,HTML_CSS,JavaScript,Data_Structures,DBMS,OOP,Machine_Learning,Cloud,Industry_Ready
S001,0,0,1,0,0,0,0,0,1,0,1
S002,0,0,0,0,1,0,1,1,0,0,0
S003,1,1,0,0,1,0,0,1,0,1,0
S004,1,0,1,0,1,0,1,1,0,0,1
S005,0,1,0,0,0,1,1,1,1,0,0
S006,0,1,0,0,0,0,1,1,1,0,0
S007,0,0,0,1,1,1,0,0,1,0,0
S008,1,1,0,1,0,0,1,1,1,1,1
S009,1,0,0,0,0,0,1,0,1,1,0
S010,1,1,0,0,1,1,0,1,1,0,0
S011,1,0,0,1,0,0,1,0,0,1,0
S012,0,1,1,0,0,0,0,0,1,0,0
S013,0,0,1,0,1,1,0,0,1,1,0
S014,1,1,1,0,0,0,0,1,0,0,0
S015,0,0,0,0,0,0,1,0,0,1,0
S016,0,0,1,0,1,1,0,0,0,1,0
S017,1,1,0,0,0,1,1,0,0,0,0
S018,1,0,1,0,1,1,0,0,1,0,0
S019,0,0,0,0,1,1,1,0,1,0,0
S020,0,1,1,1,1,1,1,0,0,1,1
S021,0,1,0,0,1,0,0,0,0,0,0
S022,0,1,0,0,0,0,1,1,1,0,0
S023,1,0,1,1,0,1,1,1,0,0,0
S024,0,0,0,1,0,1,0,0,1,1,0
S025,1,0,1,0,0,1,0,0,0,1,0
S026,0,1,0,1,1,1,0,0,1,1,1
S027,0,1,0,1,1,0,0,0,0,0,0
S028,0,1,0,0,1,1,0,1,0,0,0
S029,1,1,0,0,0,0,1,0,0,1,0
S030,1,0,1,0,0,1,0,1,0,0,0
S031,1,1,1,0,0,0,0,1,1,1,0
S032,1,1,1,1,0,0,1,0,1,0,1
S033,1,1,0,1,0,1,0,1,0,0,0
S034,0,1,1,0,1,1,1,1,1,1,1
S035,0,1,1,0,1,1,0,1,1,0,0
S036,1,1,1,1,0,1,0,0,1,1,1
S037,0,1,0,0,0,0,0,0,1,0,0
S038,0,1,1,1,0,0,0,0,1,0,0
S039,1,0,0,0,1,0,1,1,1,1,0
S040,0,1,1,1,0,1,1,0,1,1,1
S041,1,1,1,0,0,0,0,1,0,0,0
S042,1,1,1,1,0,0,1,1,0,1,0
S043,1,1,1,0,1,0,1,1,1,0,1
S044,1,0,1,0,0,1,0,0,1,0,0
S045,0,0,1,1,1,0,1,1,1,1,1
S046,1,1,0,1,0,0,1,0,0,0,0
S047,0,0,0,0,0,0,1,0,0,1,0
S048,1,0,0,0,1,0,0,1,1,1,0
S049,0,0,0,0,1,0,0,1,1,1,0
S050,1,0,1,1,0,1,1,1,0,1,1
S051,1,1,1,1,1,1,0,0,1,1,1
S052,1,1,1,0,1,1,0,1,0,1,0
S053,1,0,0,0,0,1,1,0,1,1,0
S054,0,0,1,0,1,0,1,1,1,1,0
S055,1,1,1,1,1,1,0,0,0,1,1
S056,0,0,0,1,1,1,0,0,1,0,0
S057,1,0,0,1,0,0,1,0,1,0,0
S058,1,1,1,1,1,0,0,1,1,0,0
S059,0,0,0,0,1,0,0,0,1,0,0
S060,1,1,1,1,1,1,0,0,0,0,1
S061,0,0,0,0,0,1,1,1,1,0,0
S062,1,1,0,0,1,0,1,0,0,0,0
S063,0,0,0,0,1,1,1,0,1,1,0
S064,1,1,1,0,0,1,1,1,0,0,1
S065,0,1,0,0,1,1,1,0,1,1,0
S066,1,1,1,0,0,1,1,1,1,1,1
S067,0,1,0,1,1,1,0,1,0,1,0
S068,1,1,1,0,0,1,0,1,1,1,1
S069,0,0,1,0,1,0,0,0,1,0,0
S070,0,1,1,1,1,1,1,0,1,0,1
S071,0,0,1,1,1,1,0,1,1,1,0
S072,1,1,1,1,1,1,0,0,1,0,0
S073,1,1,1,1,0,1,0,0,1,0,0
S074,1,0,0,1,0,0,1,1,1,1,0
S075,1,1,1,0,0,0,1,0,0,1,0
S076,0,1,0,1,0,0,1,0,1,1,0
S077,0,0,1,0,0,0,0,1,0,1,0
S078,0,0,1,1,1,1,0,1,1,0,1
S079,1,1,1,1,1,0,1,1,0,0,1
S080,1,1,0,1,1,0,0,1,1,0,0
S081,0,1,0,0,0,1,1,0,1,0,0
S082,1,1,1,0,0,0,1,1,0,1,0
S083,1,1,0,1,0,0,0,1,1,0,0
S084,0,1,0,1,1,1,1,1,0,0,0
S085,1,0,0,1,1,1,0,0,0,0,0
S086,1,0,0,0,0,1,1,1,1,0,0
S087,0,1,1,1,0,1,0,1,1,0,0
S088,1,1,0,1,1,0,0,1,0,0,0
S089,0,0,1,0,0,0,0,0,0,0,0
S090,0,0,1,0,0,1,0,0,0,0,1
S091,0,1,0,0,1,0,0,1,0,0,0
S092,1,0,1,0,0,1,1,0,0,1,0
S093,1,0,1,1,0,0,1,0,0,0,0
S094,1,1,1,1,1,0,0,0,1,1,0
S095,1,1,1,0,1,1,1,1,1,0,1
S096,1,0,0,0,0,1,0,1,0,0,0
S097,1,0,1,1,1,0,1,1,1,0,0
S098,1,0,0,1,1,0,1,0,1,0,0
S099,1,0,0,1,1,1,1,0,0,0,0
S100,1,0,0,0,0,0,1,1,1,1,0
